tm02,The id-numbers of one of the tm0-tm4 passingtm players
tm03,The id-numbers of one of the tm0-tm4 passingtm players
longavg,A dummy variable representing if a match was played during the period where game-length average was longer (0) or shorter (1)
bool,A variable of all 1s used as a base if a boolean 1 is needed elsewhere in calculations
sum_games_by_id,The sum of games a player has played within the tracked period
is_first_game,"1 if the match is the player's first match within the tracked period, 0 if it is not"
milliseconds_in_game,The sum of milliseconds a player has spent playing in matches (calculated by the sum of games*average game length)
days_in_game,milliseconds_in_game represented in 24hour days
workdays_in_game_8hrs,milliseconds_in_game represented in 8hour work-days
first_game_timestamp,"The match timestamp for a given player's first game within the tracked period. Takes the millisecond value if it is the first game, and 0 if not"
first_game_timestamp_by_id,Player-specific first_game_timestamp imposed across all collumns
milliseconds_since_first_game,The milliseconds since the player's first game
days_since_first_game,The 24hour days since the player's first game
workdays_since_first_game_8hrs,The 8hour days since the player's first game
pct_days_in_game,The percent of time the player spends in game within the tracked period
tm00count,"1 if tm00 is on the player's team-roster, 0 if not"
tm01count,"1 if tm01 is on the player's team-roster, 0 if not"
tm02count,"1 if tm02 is on the player's team-roster, 0 if not"
tm03count,"1 if tm03 is on the player's team-roster, 0 if not"
tm00famcount,The sum of times tm00 has been 1 in past games for a specific player
tm01famcount,The sum of times tm01 has been 1 in past games for a specific player
tm02famcount,The sum of times tm02 has been 1 in past games for a specific player
tm03famcount,The sum of times tm03 has been 1 in past games for a specific player
alltmfamcount,The sum of times tm00-tm04 has been 1 in past games for a specific player
f0,A dummy variable representing a familiarity measure between 0 and 9.99%
f1,A dummy variable representing a familiarity measure between 10 and 19.99%
f2,A dummy variable representing a familiarity measure between 20 and 29.99%
f3,A dummy variable representing a familiarity measure between 30 and 39.99%
f4,A dummy variable representing a familiarity measure between 40 and 49.99%
f5,A dummy variable representing a familiarity measure between 50 and 59.99%
f6,A dummy variable representing a familiarity measure between 60 and 69.99%
f7,A dummy variable representing a familiarity measure between 70 and 79.99%
f8,A dummy variable representing a familiarity measure between 80 and 89.99%
f9,A dummy variable representing a familiarity measure between 90 and 100%
f00,A dummy variable representing a familiarity measure between 0 and 33.33%
f01,A dummy variable representing a familiarity measure between 33.34 and 66.66%
f02,A dummy variable representing a familiarity measure between 66.67 and 100%
top,1 if the player had the “top” role within a game
jungle,1 if the player had the “jungle” role within the game
mid,1 if the player had the “middle” role within a game
bot_carry,1 if the player had the “bot_carry” role within the game
bot_support,1 if the player had the “bot_support” role within the game
